node,type,lon,lat,frequency,voltage
GI_Sambas,substation,109.2688,1.3429,50,150
GI_Singkawang,substation,108.9876,0.9266,50,150
GI_PLTU_3_Kalbar,substation,108.8747,0.8361,50,150
GI_PLTU_2_Kalbar,substation,108.8653,0.8300,50,150
GI_Senggiring,substation,108.9853,0.3162,50,150
GI_Parit_Baru,substation,109.2055,0.0592,50,150
GI_Kota_Baru,substation,109.2987,-0.0754,50,150
GI_Siantan,substation,109.3280,-0.0002,50,150
GI_Sei_Raya,substation,109.3809,-0.0735,50,150
GI_Tayan,substation,110.0932,0.0015,50,150
GI_Ngabang,substation,110.0010,0.3534,50,150
GI_Bengkayang,substation,109.4967,0.9056,50,150
GITET_Bengkayang,substation,109.4966,0.9066,50,275
GI_Pangkalanbun,substation,111.7037,-2.6152,50,150
GI_Sampit,substation,112.9207,-2.4816,50,150
GI_PLTU_Sampit,substation,112.9101,-2.7625,50,150
GI_Kasongan,substation,113.4337,-1.9002,50,150
GI_Palangkaraya,substation,113.8739,-2.1748,50,150
GI_Sebangau,substation,113.9302,-2.2748,50,150
GI_Pulau_Pisang,substation,114.2547,-2.7316,50,150
GI_S_Mintin,substation,114.2086,-2.8214,50,150
GI_Selat,substation,114.3736,-3.0121,50,150
GI_Seberang_Barito,substation,114.5522,-3.2767,50,150
GI_Trisakti,substation,114.5710,-3.3094,50,150
GI_Mantuil,substation,114.6270,-3.4236,50,150
GI_Asam-asam,substation,115.1049,-3.9253,50,150
GI_Satui,substation,115.5190,-3.7127,50,150
GI_Batulicin,substation,115.9862,-3.4822,50,150
GI_Cempaka,substation,114.8499,-3.4658,50,150
GI_Pelaihari,substation,114.7576,-3.7296,50,150
GI_Bandara,substation,114.7553,-3.4725,50,150
GI_Rantau,substation,115.1260,-3.0289,50,150
GI_Barikin,substation,115.3276,-2.6843,50,150
GI_Kayutangi,substation,114.6205,-3.2304,50,150
GI_Amuntai,substation,115.2949,-2.4171,50,150
GI_Tanjung,substation,115.4505,-2.1953,50,150
GI_Buntok,substation,114.9788,-1.7459,50,150
GI_Muara_Teweh,substation,114.8658,-0.8672,50,150
GI_Bangkanai,substation,115.1385,-0.6212,50,150
GI_Muara_Komam,substation,115.8694,-1.8280,50,150
GI_Kuaro,substation,116.0945,-1.8032,50,150
GI_Grogot,substation,116.1656,-1.8984,50,150
GI_Longikis,substation,116.3231,-1.5161,50,150
GI_Petung,substation,116.6719,-1.3408,50,150
GI_Kariangau,substation,116.7920,-1.1657,50,150
GI_Karangjoang,substation,116.8777,-1.1488,50,150
GI_Manggar_Sari,substation,116.9488,-1.2383,50,150
GI_Industri,substation,116.8411,-1.2620,50,150
GI_Senipah,substation,117.1350,-0.9869,50,150
GI_Harapan_Baru,substation,117.1063,-0.5470,50,150
GI_Tengkawang,substation,117.1136,-0.5024,50,150
GI_Embalut,substation,117.0518,-0.3816,50,150
GI_Bukit_Biru,substation,116.9780,-0.4560,50,150
GI_Kotabangun,substation,116.5953,-0.2716,50,150
GI_Bukuan,substation,117.1930,-0.5832,50,150
GI_Muara_Jawa,substation,117.1886,-0.7806,50,150
GI_Sambutan,substation,117.2139,-0.5242,50,150
GI_Muara_Badak,substation,117.2925,-0.3160,50,150
GI_Teluk_Pandan,substation,117.4350,0.1614,50,150
GI_Sangatta,substation,117.5693,0.4701,50,150
GI_Malinau,substation,116.6286,3.5114,50,150
GI_Tideng_Pale,substation,116.8411,3.5748,50,150
